DESTINATION;COMMERCIAL FLAG;CITY;COUNTRY;FLIGH DIRECTION;FLIGHT TYPE;DATE;DATE YEAR;DATE HALF YEAR;DATE YEAR QUARTER;DATE YEAR MONTH;NBR OF PASSENGERS;CARGO WEIGHT;NBR OF FLIGHTS;SEAT CAPACITY
Annecy - Meythet;Commercial;Annecy - Meythet;France;Incoming;Non Scheduled;2012.02.01;2012;2012H1;2012Q1;201202;5;0;1;5
Bastia;Commercial;Bastia;France;Incoming;Non Scheduled;2008.05.01;2008;2008H1;2008Q2;200805;0;0;1;164
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.01.01;2007;2007H1;2007Q1;200701;1763;0;13;2340
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.01.01;2007;2007H1;2007Q1;200701;1367;0;13;2340
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.02.01;2007;2007H1;2007Q1;200702;1773;0;12;2160
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.02.01;2007;2007H1;2007Q1;200702;1777;0;12;2160
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.03.01;2007;2007H1;2007Q1;200703;2222;0;14;2520
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.03.01;2007;2007H1;2007Q1;200703;2002;0;14;2520
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.04.01;2007;2007H1;2007Q2;200704;2254;0;15;2700
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.04.01;2007;2007H1;2007Q2;200704;2251;0;15;2700
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.05.01;2007;2007H1;2007Q2;200705;1996;0;14;2520
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.05.01;2007;2007H1;2007Q2;200705;2004;0;14;2520
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.06.01;2007;2007H1;2007Q2;200706;2112;0;13;2349
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.06.01;2007;2007H1;2007Q2;200706;2061;0;13;2349
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.07.01;2007;2007H2;2007Q3;200707;2038;0;13;2340
Beauvais;Commercial;Beauvais;France;Incoming;Non Scheduled;2007.07.01;2007;2007H2;2007Q3;200707;0;0;1;296
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.07.01;2007;2007H2;2007Q3;200707;2069;0;13;2340
Beauvais;Commercial;Beauvais;France;Outgoing;Non Scheduled;2007.07.01;2007;2007H2;2007Q3;200707;0;0;1;296
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.08.01;2007;2007H2;2007Q3;200708;1958;0;13;2340
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.08.01;2007;2007H2;2007Q3;200708;2058;0;13;2340
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.09.01;2007;2007H2;2007Q3;200709;2039;0;13;2292
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.09.01;2007;2007H2;2007Q3;200709;1852;0;13;2290
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.10.01;2007;2007H2;2007Q4;200710;2251;0;14;2508
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.10.01;2007;2007H2;2007Q4;200710;2046;0;14;2520
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.11.01;2007;2007H2;2007Q4;200711;2378;0;17;3060
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.11.01;2007;2007H2;2007Q4;200711;2163;0;17;3060
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2007.12.01;2007;2007H2;2007Q4;200712;2577;0;17;3060
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2007.12.01;2007;2007H2;2007Q4;200712;2552;0;17;3060
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2008.01.01;2008;2008H1;2008Q1;200801;2637;0;17;3060
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2008.01.01;2008;2008H1;2008Q1;200801;2268;0;17;3060
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2008.02.01;2008;2008H1;2008Q1;200802;2419;0;16;2880
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2008.02.01;2008;2008H1;2008Q1;200802;2181;0;14;2520
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2008.03.01;2008;2008H1;2008Q1;200803;3015;0;19;3420
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2008.03.01;2008;2008H1;2008Q1;200803;2864;0;19;3420
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2008.04.01;2008;2008H1;2008Q2;200804;2550;0;17;3060
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2008.04.01;2008;2008H1;2008Q2;200804;2526;0;17;3060
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2008.05.01;2008;2008H1;2008Q2;200805;2677;0;17;3060
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2008.05.01;2008;2008H1;2008Q2;200805;2786;0;17;3060
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2008.06.01;2008;2008H1;2008Q2;200806;2901;0;18;3240
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2008.06.01;2008;2008H1;2008Q2;200806;2749;0;18;3240
Beauvais;Commercial;Beauvais;France;Outgoing;Scheduled;2008.07.01;2008;2008H2;2008Q3;200807;3005;0;20;3600
Beauvais;Commercial;Beauvais;France;Incoming;Scheduled;2008.07.01;2008;2008H2;2008Q3;200807;2939;0;20;3600
