attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24
3130,1,3550,2,4224,3,4505,4,4000,5,4173,6,4107,7,4016,8,3891,9,4297,10,4541,11,5129,12,1
3550,2,4224,3,4505,4,4000,5,4173,6,4107,7,4016,8,3891,9,4297,10,4541,11,5129,12,4905,1,1
4224,3,4505,4,4000,5,4173,6,4107,7,4016,8,3891,9,4297,10,4541,11,5129,12,4905,1,4600,2,1
4505,4,4000,5,4173,6,4107,7,4016,8,3891,9,4297,10,4541,11,5129,12,4905,1,4600,2,5879,3,1
4000,5,4173,6,4107,7,4016,8,3891,9,4297,10,4541,11,5129,12,4905,1,4600,2,5879,3,5076,4,1
4173,6,4107,7,4016,8,3891,9,4297,10,4541,11,5129,12,4905,1,4600,2,5879,3,5076,4,5463,5,1
4107,7,4016,8,3891,9,4297,10,4541,11,5129,12,4905,1,4600,2,5879,3,5076,4,5463,5,5650,6,1
4016,8,3891,9,4297,10,4541,11,5129,12,4905,1,4600,2,5879,3,5076,4,5463,5,5650,6,5944,7,1
3891,9,4297,10,4541,11,5129,12,4905,1,4600,2,5879,3,5076,4,5463,5,5650,6,5944,7,5853,8,0
4297,10,4541,11,5129,12,4905,1,4600,2,5879,3,5076,4,5463,5,5650,6,5944,7,5853,8,4862,9,1
4541,11,5129,12,4905,1,4600,2,5879,3,5076,4,5463,5,5650,6,5944,7,5853,8,4862,9,5518,10,0
5129,12,4905,1,4600,2,5879,3,5076,4,5463,5,5650,6,5944,7,5853,8,4862,9,5518,10,5156,11,0
4905,1,4600,2,5879,3,5076,4,5463,5,5650,6,5944,7,5853,8,4862,9,5518,10,5156,11,4395,12,0
4600,2,5879,3,5076,4,5463,5,5650,6,5944,7,5853,8,4862,9,5518,10,5156,11,4395,12,4456,1,0
5879,3,5076,4,5463,5,5650,6,5944,7,5853,8,4862,9,5518,10,5156,11,4395,12,4456,1,4227,2,1
5076,4,5463,5,5650,6,5944,7,5853,8,4862,9,5518,10,5156,11,4395,12,4456,1,4227,2,5004,3,1
5463,5,5650,6,5944,7,5853,8,4862,9,5518,10,5156,11,4395,12,4456,1,4227,2,5004,3,4920,4,0
5650,6,5944,7,5853,8,4862,9,5518,10,5156,11,4395,12,4456,1,4227,2,5004,3,4920,4,4015,5,0
5944,7,5853,8,4862,9,5518,10,5156,11,4395,12,4456,1,4227,2,5004,3,4920,4,4015,5,3437,6,0
5853,8,4862,9,5518,10,5156,11,4395,12,4456,1,4227,2,5004,3,4920,4,4015,5,3437,6,4115,7,0
4862,9,5518,10,5156,11,4395,12,4456,1,4227,2,5004,3,4920,4,4015,5,3437,6,4115,7,4064,8,1
5518,10,5156,11,4395,12,4456,1,4227,2,5004,3,4920,4,4015,5,3437,6,4115,7,4064,8,4561,9,1
