@relation flights

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric

@data
16734,176,24652,1,1,15989,160,21868,2,1,18585,178,24284,3,1,18989,180,23916,4,2,20628,186,25468,5,2,19839,180,24240,6,2,22665,187,26937,7,3,22053,186,26746,8,3,20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,0
15989,160,21868,2,1,18585,178,24284,3,1,18989,180,23916,4,2,20628,186,25468,5,2,19839,180,24240,6,2,22665,187,26937,7,3,22053,186,26746,8,3,20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,0
18585,178,24284,3,1,18989,180,23916,4,2,20628,186,25468,5,2,19839,180,24240,6,2,22665,187,26937,7,3,22053,186,26746,8,3,20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,1
18989,180,23916,4,2,20628,186,25468,5,2,19839,180,24240,6,2,22665,187,26937,7,3,22053,186,26746,8,3,20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,0
20628,186,25468,5,2,19839,180,24240,6,2,22665,187,26937,7,3,22053,186,26746,8,3,20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,1
19839,180,24240,6,2,22665,187,26937,7,3,22053,186,26746,8,3,20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,1
22665,187,26937,7,3,22053,186,26746,8,3,20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,1
22053,186,26746,8,3,20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,1
20630,180,25962,9,3,21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,0
21424,189,27814,10,4,17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,1
17854,180,25588,11,4,19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,0
19964,205,30114,12,4,16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,0
16860,200,29329,1,1,16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,0
16083,174,23016,2,1,19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,0
19082,188,24858,3,1,17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,0
17346,180,25059,4,2,19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,1
19298,186,27461,5,2,18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,19542,180,24473,4,2,1
18862,180,25067,6,2,22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,19542,180,24473,4,2,19279,186,25194,5,2,1
22079,188,28208,7,3,23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,19542,180,24473,4,2,19279,186,25194,5,2,18978,180,23254,6,2,1
23133,186,27948,8,3,19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,19542,180,24473,4,2,19279,186,25194,5,2,18978,180,23254,6,2,22692,186,26249,7,3,1
19842,178,25180,9,3,20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,19542,180,24473,4,2,19279,186,25194,5,2,18978,180,23254,6,2,22692,186,26249,7,3,22622,186,25136,8,3,1
20266,186,25206,10,4,18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,19542,180,24473,4,2,19279,186,25194,5,2,18978,180,23254,6,2,22692,186,26249,7,3,22622,186,25136,8,3,21209,180,24759,9,3,1
18423,180,23254,11,4,18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,19542,180,24473,4,2,19279,186,25194,5,2,18978,180,23254,6,2,22692,186,26249,7,3,22622,186,25136,8,3,21209,180,24759,9,3,22551,186,26680,10,4,0
18473,185,25489,12,4,16778,186,24542,1,1,15754,156,20332,2,1,17272,180,23608,3,1,19542,180,24473,4,2,19279,186,25194,5,2,18978,180,23254,6,2,22692,186,26249,7,3,22622,186,25136,8,3,21209,180,24759,9,3,22551,186,26680,10,4,20378,180,26562,11,4,0
