CS_TargetRate;E_AssumedEC;M_ID;RT_CLen_P;RT_CLenstd_P;RT_CSet_P;RT_CSetstd_P;RT_Reg_P;RT_Regstd_P;RT_TDown_P;RT_TDownstd_P;SC_FailedCall_P;SC_FailureRate_P;SC_IncomingCall_P;SC_OutgoingCall_P;SC_SuccessfulCall_P;SC_SuccessRate_P;SC_TotalCallCreated;SF_FailedCallRejected_P;SF_FailedTimeoutOnRecv_P;SF_FailedTimeoutOnSend_P;SF_FailedUnexpectedMessage_P;SF_RejectionRate_P;SW_CallRate_P;SW_CurrentCall;SW_Targetrate;TIMESTAMP;CPUCtxsw_Bono;CPUCtxsw_NodeSystem;CPUCtxsw_NodeClient;CPUCtxsw_Homer;CPUCtxsw_Homestead;CPUCtxsw_Sprout;CPUIntr_Bono;CPUIntr_NodeSystem;CPUIntr_NodeClient;CPUIntr_Homer;CPUIntr_Homestead;CPUIntr_Sprout;CPUload1_Bono;CPUload1_NodeSystem;CPUload1_NodeClient;CPUload1_Homer;CPUload1_Homestead;CPUload1_Sprout;CPUload15_Bono;CPUload15_NodeSystem;CPUload15_NodeClient;CPUload15_Homer;CPUload15_Homestead;CPUload15_Sprout;CPUload5_Bono;CPUload5_NodeSystem;CPUload5_NodeClient;CPUload5_Homer;CPUload5_Homestead;CPUload5_Sprout;CPUUtil_idle_Bono;CPUUtil_idle_NodeSystem;CPUUtil_idle_NodeClient;CPUUtil_idle_Homer;CPUUtil_idle_Homestead;CPUUtil_idle_Sprout;CPUUtil_intr_Bono;CPUUtil_intr_NodeSystem;CPUUtil_intr_NodeClient;CPUUtil_intr_Homer;CPUUtil_intr_Homestead;CPUUtil_intr_Sprout;CPUUtil_iowait_Bono;CPUUtil_iowait_NodeSystem;CPUUtil_iowait_NodeClient;CPUUtil_iowait_Homer;CPUUtil_iowait_Homestead;CPUUtil_iowait_Sprout;CPUUtil_nice_Bono;CPUUtil_nice_NodeSystem;CPUUtil_nice_NodeClient;CPUUtil_nice_Homer;CPUUtil_nice_Homestead;CPUUtil_nice_Sprout;CPUUtil_softirq_Bono;CPUUtil_softirq_NodeSystem;CPUUtil_softirq_NodeClient;CPUUtil_softirq_Homer;CPUUtil_softirq_Homestead;CPUUtil_softirq_Sprout;CPUUtil_system_Bono;CPUUtil_system_NodeSystem;CPUUtil_system_NodeClient;CPUUtil_system_Homer;CPUUtil_system_Homestead;CPUUtil_system_Sprout;CPUUtil_usage_Bono;CPUUtil_usage_NodeSystem;CPUUtil_usage_NodeClient;CPUUtil_usage_Homer;CPUUtil_usage_Homestead;CPUUtil_usage_Sprout;CPUUtil_user_Bono;CPUUtil_user_NodeSystem;CPUUtil_user_NodeClient;CPUUtil_user_Homer;CPUUtil_user_Homestead;CPUUtil_user_Sprout;DSKread_Bono;DSKread_NodeSystem;DSKread_NodeClient;DSKread_Homer;DSKread_Homestead;DSKread_Sprout;DSKwrite_Bono;DSKwrite_NodeSystem;DSKwrite_NodeClient;DSKwrite_Homer;DSKwrite_Homestead;DSKwrite_Sprout;MEMav_Bono;MEMav_NodeSystem;MEMav_NodeClient;MEMav_Homer;MEMav_Homestead;MEMav_Sprout;MEMfree_Bono;MEMfree_NodeSystem;MEMfree_NodeClient;MEMfree_Homer;MEMfree_Homestead;MEMfree_Sprout
0;30;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1182;9813;1187;1148;1087;1579;508;9242;3809;557;583;890;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;74;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;0;4;6;2;7;7;8;19;23;3;25;31;26;2;9;1;8;9;5;0;2;0;0;0;0;26;247;5;26;26;27;1719939072;24132034560;31407935488;244428800;413638656;1505697792;856530944;22340497408;29479137280;91262976;95248384;637915136
2;30;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1182;10485;2962;1247;3275;2009;584;11268;3809;557;583;890;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;74;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;0;4;6;2;7;7;8;19;23;3;25;31;26;2;8;1;8;8;5;0;2;0;0;0;0;26;248;5;26;26;27;1720037376;24129441792;31407935488;244461568;398503936;1505697792;856530944;22337904640;29479137280;91230208;78213120;637980672
5;30;2014;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;2;2;1287;17135;4566;1418;11206;3237;799;24051;4486;620;1325;925;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;74;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;1;4;6;2;7;7;8;19;23;3;25;31;26;2;8;1;8;9;5;0;2;0;0;0;0;26;248;5;26;26;27;1719906304;24129339392;31404630016;244461568;411242496;1505763328;856530944;22338109440;29475831808;91230208;92786688;638046208
8;30;2014;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;4;1;5;3;2363;10235;3205;1307;1088;2310;738;9102;4378;648;1179;1158;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;75;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;0;4;6;2;7;7;7;19;23;3;25;31;25;2;8;1;8;9;5;0;2;0;0;0;0;26;248;5;26;26;27;1716445184;24124669952;31405170688;244396032;411172864;1490849792;853127168;22333132800;29476372480;91230208;92778496;623067136
10;30;2014;0;0;0;0;0;0;0;0;0;0;0;7;0;0;12;0;0;0;0;0;7;5;8;4;1288;10286;3167;6446;1505;2980;610;11790;4379;1932;674;877;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;74;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;0;4;6;2;7;7;8;19;23;3;25;31;26;2;9;1;8;9;5;0;2;0;0;0;0;26;249;5;26;26;27;1717424128;24127770624;31407333376;242126848;412930048;1502134272;853942272;22336233472;29478535168;88969216;94744576;634339328
13;30;2014;0;0;0;0;0;0;0;0;0;0;0;9;0;0;20;0;0;0;0;0;9;12;10;5;1317;12125;3063;1320;1591;2031;637;11927;4542;1932;741;951;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;74;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;0;4;6;2;7;7;8;19;23;3;25;31;26;2;9;1;8;9;5;0;2;0;0;0;0;26;249;5;26;26;27;1719406592;24120238080;31407460352;242069504;412930048;1502990336;855900160;22328700928;29478535168;88903680;95170560;635203584
16;30;2014;0;0;0;0;0;0;0;0;0;0;0;13;0;0;33;0;0;0;0;0;13;21;13;6;2144;30726;6213;2260;3477;4534;1296;39119;13338;628;1521;2275;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;75;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;1;4;6;2;7;7;8;19;23;3;25;31;25;2;9;1;8;9;5;0;2;0;0;0;0;26;249;5;26;26;27;1719406592;24129572864;31407460352;242266112;413499392;1503023104;855900160;22338035712;29478662144;88903680;95170560;635236352
19;30;2014;0;0;0;0;79;0;0;0;0;0;0;15;0;0;48;0;0;0;0;0;15;34;16;7;1241;10787;3204;1354;3217;1969;568;10513;4666;603;1382;896;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;74;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;0;4;6;2;7;7;8;19;23;3;25;31;26;2;9;1;8;9;5;0;2;0;0;0;0;26;250;5;26;26;27;1720016896;24130252800;31379496960;243822592;413548544;1505472512;856571904;22338711552;29478043648;90587136;95219712;637685760
21;30;2014;0;0;0;0;79;0;0;0;0;0;0;18;0;0;66;0;0;0;0;0;18;49;19;8;1192;11315;3044;1326;1284;1941;583;10912;4673;592;609;916;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;75;69;74;0;0;0;0;0;0;13;7;0;10;15;12;0;0;0;0;0;0;0;1;0;0;0;0;4;6;2;7;7;8;19;23;3;25;31;26;2;9;1;8;9;5;0;2;0;0;0;0;26;250;5;26;26;27;1719951360;24131055616;31407144960;244482048;413634560;1505509376;856637440;22339514368;29478313984;91172864;95301632;637718528
24;30;2014;0;0;0;0;68;0;0;0;0;0;0;20;0;0;86;0;0;0;0;0;20;67;21;9;1244;11251;3106;1482;2676;2064;579;8506;4721;690;1233;963;1;0;0;0;0;0;1;0;0;1;2;2;1;0;0;1;2;2;81;77;97;74;69;74;0;0;0;0;0;0;13;7;0;11;15;12;0;0;0;0;0;0;0;1;0;0;0;0;4;6;2;7;7;8;19;23;3;26;31;26;2;9;1;8;9;5;0;2;0;0;0;0;26;250;5;26;26;27;1720639488;24130768896;31406825472;244449280;413749248;1505509376;857128960;22339227648;29478027264;91271168;95285248;637718528
