CS_TargetRate;CS_WorkloadPhase;E_AssumedEC;M_ID;RT_CLen_P;RT_CLenstd_P;RT_CSet_P;RT_CSetstd_P;RT_Reg_P;RT_Regstd_P;RT_TDown_P;RT_TDownstd_P;SC_FailedCall_P;SC_FailureRate_P;SC_IncomingCall_P;SC_OutgoingCall_P;SC_SuccessfulCall_P;SC_SuccessRate_P;SC_TotalCallCreated;SF_FailedCallRejected_P;SF_FailedTimeoutOnRecv_P;SF_FailedTimeoutOnSend_P;SF_FailedUnexpectedMessage_P;SF_RejectionRate_P;SW_CallRate_P;SW_CurrentCall;SW_Targetrate;TIMESTAMP;CPUCtxsw_Bono;CPUCtxsw_NodeSystem;CPUCtxsw_NodeClient;CPUCtxsw_Homer;CPUCtxsw_Homestead;CPUCtxsw_Sprout;CPUIntr_Bono;CPUIntr_NodeSystem;CPUIntr_NodeClient;CPUIntr_Homer;CPUIntr_Homestead;CPUIntr_Sprout;CPUload1_Bono;CPUload1_NodeSystem;CPUload1_NodeClient;CPUload1_Homer;CPUload1_Homestead;CPUload1_Sprout;CPUload15_Bono;CPUload15_NodeSystem;CPUload15_NodeClient;CPUload15_Homer;CPUload15_Homestead;CPUload15_Sprout;CPUload5_Bono;CPUload5_NodeSystem;CPUload5_NodeClient;CPUload5_Homer;CPUload5_Homestead;CPUload5_Sprout;CPUUtil_idle_Bono;CPUUtil_idle_NodeSystem;CPUUtil_idle_NodeClient;CPUUtil_idle_Homer;CPUUtil_idle_Homestead;CPUUtil_idle_Sprout;CPUUtil_intr_Bono;CPUUtil_intr_NodeSystem;CPUUtil_intr_NodeClient;CPUUtil_intr_Homer;CPUUtil_intr_Homestead;CPUUtil_intr_Sprout;CPUUtil_iowait_Bono;CPUUtil_iowait_NodeSystem;CPUUtil_iowait_NodeClient;CPUUtil_iowait_Homer;CPUUtil_iowait_Homestead;CPUUtil_iowait_Sprout;CPUUtil_nice_Bono;CPUUtil_nice_NodeSystem;CPUUtil_nice_NodeClient;CPUUtil_nice_Homer;CPUUtil_nice_Homestead;CPUUtil_nice_Sprout;CPUUtil_softirq_Bono;CPUUtil_softirq_NodeSystem;CPUUtil_softirq_NodeClient;CPUUtil_softirq_Homer;CPUUtil_softirq_Homestead;CPUUtil_softirq_Sprout;CPUUtil_system_Bono;CPUUtil_system_NodeSystem;CPUUtil_system_NodeClient;CPUUtil_system_Homer;CPUUtil_system_Homestead;CPUUtil_system_Sprout;CPUUtil_usage_Bono;CPUUtil_usage_NodeSystem;CPUUtil_usage_NodeClient;CPUUtil_usage_Homer;CPUUtil_usage_Homestead;CPUUtil_usage_Sprout;CPUUtil_user_Bono;CPUUtil_user_NodeSystem;CPUUtil_user_NodeClient;CPUUtil_user_Homer;CPUUtil_user_Homestead;CPUUtil_user_Sprout;DSKread_Bono;DSKread_NodeSystem;DSKread_NodeClient;DSKread_Homer;DSKread_Homestead;DSKread_Sprout;DSKwrite_Bono;DSKwrite_NodeSystem;DSKwrite_NodeClient;DSKwrite_Homer;DSKwrite_Homestead;DSKwrite_Sprout;MEMav_Bono;MEMav_NodeSystem;MEMav_NodeClient;MEMav_Homer;MEMav_Homestead;MEMav_Sprout;MEMfree_Bono;MEMfree_NodeSystem;MEMfree_NodeClient;MEMfree_Homer;MEMfree_Homestead;MEMfree_Sprout
52;plateau;35;2020;119981285;16644000;9984079;679000;1261;262000;1575845;983000;0;0;0;52;47;1;13557;0;0;0;0;0;52;6331;52;324;9557;47964;14386;13974;19350;10799;5484;55036;21287;6224;8651;4728;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;34;42;93;46;39;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;19;66;58;7;54;61;91;42;34;2;31;32;65;0;9;0;5;0;0;26;258;6;27;27;26;1657081856;24164864000;30637096960;245473280;333471744;1424015360;582328320;22307520512;28671852544;100573184;91860992;413597696
52;plateau;35;2020;119859869;17431000;9388143;794000;1334;339000;707483;235000;0;0;0;52;57;1;13609;0;0;0;0;0;52;6330;52;325;9557;47964;14386;13974;19350;10799;5484;55036;21287;6224;8651;4728;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;34;42;93;46;39;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;19;66;58;7;54;61;91;42;34;2;31;32;65;0;9;0;5;0;0;26;258;6;27;27;26;1657081856;24164864000;30637096960;245473280;333471744;1424015360;582328320;22307520512;28671852544;100573184;91860992;413597696
52;plateau;35;2020;121756127;18146000;8259409;180000;995;468000;395555;231000;0;0;0;52;50;1;13661;0;0;0;0;0;52;6320;52;326;9557;47964;14386;13974;19350;10799;5484;55036;12371;6224;8651;4728;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;34;42;93;46;39;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;19;66;58;7;54;61;91;43;34;2;31;32;65;0;9;0;5;0;0;26;258;6;27;27;26;1657081856;24164864000;30637096960;245473280;333471744;1424015360;582328320;22307520512;28671852544;100573184;91860992;413597696
52;plateau;35;2020;126133889;18140000;7884000;404000;423;366000;147092;87000;0;0;0;52;36;1;13713;0;0;0;0;0;52;6337;52;327;9557;47964;14386;13974;19350;10799;5484;55036;12371;6224;8651;4728;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;34;42;93;46;39;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;19;66;58;7;54;61;91;43;34;2;31;32;65;0;9;0;5;0;0;26;258;6;27;27;26;1657081856;24164864000;30630514688;245473280;333471744;1424015360;582328320;22307520512;28671852544;100573184;91717632;413597696
52;plateau;35;2020;123448185;16099000;0;0;399;17000;114086;8000;0;0;0;52;50;1;13765;0;0;0;0;0;52;6351;52;328;5419;32483;8890;11962;25131;10197;3637;35006;12371;5354;9279;3737;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;34;42;93;46;39;8;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;18;66;58;7;54;61;92;43;35;2;31;32;66;0;9;0;5;0;0;26;258;6;27;26;27;1656483840;24158269440;30630514688;242704384;317075456;1423360000;580526080;22300708864;28671705088;97624064;91717632;413388800
52;plateau;35;2020;122673026;17513000;9288000;0;720;136000;189831;44000;0;0;0;52;66;1;13817;0;0;0;0;0;52;6337;52;329;3663;37419;9984;16820;23401;10499;2918;47409;8923;8310;8771;4739;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;35;42;93;46;40;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;18;65;58;7;54;60;91;43;34;2;31;31;66;0;9;0;5;0;0;26;258;6;27;27;27;1653575680;24163217408;30636949504;242012160;323735552;1420419072;577683456;22305615872;28671287296;97517568;82370560;410255360
52;plateau;35;2020;123609316;18537000;8761477;580000;700;166000;265815;81000;0;0;0;52;52;1;13869;0;0;0;0;0;52;6322;52;330;8175;41876;11890;12607;24746;10723;5048;46245;15459;6010;9423;3672;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;35;42;93;45;40;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;18;65;58;7;55;60;91;42;34;2;31;32;66;0;9;0;5;0;0;26;258;6;27;27;27;1651249152;24164515840;30634704896;242708480;330518528;1420779520;577396736;22306725888;28671557632;97558528;75382784;410628096
52;plateau;35;2020;121415554;19472000;7754231;473000;869;150000;322000;130000;0;0;0;52;28;1;13921;0;0;0;0;0;52;6342;52;331;9515;35031;11536;10469;23671;10055;4485;42244;15911;5217;9005;3576;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;34;42;93;46;40;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;18;66;58;7;54;60;91;43;34;2;31;32;66;0;9;0;5;0;0;26;258;6;27;27;26;1649803264;24155254784;30636990464;245002240;332189696;1419640832;573526016;22297915392;28671840256;99885056;88629248;409640960
52;plateau;35;2020;120859880;17862000;7977339;56000;1041;301000;631000;0;0;0;0;52;48;1;13973;0;0;0;0;0;52;6372;52;332;3789;23704;7223;7864;14666;7418;2144;30766;9869;2837;6887;2802;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;34;42;93;45;39;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;18;66;58;7;55;61;91;43;35;2;31;32;65;0;9;0;5;0;0;26;258;6;27;27;27;1649487872;24138493952;30635098112;245161984;333148160;1412284416;573534208;22275063808;28669616128;99807232;90472448;400154624
52;plateau;35;2020;121724721;16834000;7735135;258000;1207;299000;536664;173000;0;0;0;52;86;1;14025;0;0;0;0;0;52;6339;52;333;6603;23704;10538;11854;26845;11984;4701;43347;12933;6334;6887;2802;2;1;0;2;2;6;1;0;0;1;2;3;1;0;0;2;3;3;34;42;93;45;39;9;0;0;0;0;0;0;6;5;0;9;6;2;0;0;0;0;0;0;5;4;1;1;2;5;11;15;3;14;20;19;66;58;7;55;61;91;43;35;2;31;32;65;0;9;0;5;0;0;26;258;6;27;27;27;1652342784;24130441216;30609760256;245161984;332926976;1416372224;575971328;22272872448;28655026176;99807232;90624000;405704704
