CS_TargetRate;CS_WorkloadPhase;E_AssumedEC;M_ID;RT_CLen_P;RT_CLenstd_P;RT_CSet_P;RT_CSetstd_P;RT_Reg_P;RT_Regstd_P;RT_TDown_P;RT_TDownstd_P;SC_FailedCall_P;SC_FailureRate_P;SC_IncomingCall_P;SC_OutgoingCall_P;SC_SuccessfulCall_P;SC_SuccessRate_P;SC_TotalCallCreated;SF_FailedCallRejected_P;SF_FailedTimeoutOnRecv_P;SF_FailedTimeoutOnSend_P;SF_FailedUnexpectedMessage_P;SF_RejectionRate_P;SW_CallRate_P;SW_CurrentCall;SW_Targetrate;TIMESTAMP;CPUCtxsw_Bono;CPUCtxsw_NodeSystem;CPUCtxsw_NodeClient;CPUCtxsw_Homer;CPUCtxsw_Homestead;CPUCtxsw_Sprout;CPUIntr_Bono;CPUIntr_NodeSystem;CPUIntr_NodeClient;CPUIntr_Homer;CPUIntr_Homestead;CPUIntr_Sprout;CPUload1_Bono;CPUload1_NodeSystem;CPUload1_NodeClient;CPUload1_Homer;CPUload1_Homestead;CPUload1_Sprout;CPUload15_Bono;CPUload15_NodeSystem;CPUload15_NodeClient;CPUload15_Homer;CPUload15_Homestead;CPUload15_Sprout;CPUload5_Bono;CPUload5_NodeSystem;CPUload5_NodeClient;CPUload5_Homer;CPUload5_Homestead;CPUload5_Sprout;CPUUtil_idle_Bono;CPUUtil_idle_NodeSystem;CPUUtil_idle_NodeClient;CPUUtil_idle_Homer;CPUUtil_idle_Homestead;CPUUtil_idle_Sprout;CPUUtil_intr_Bono;CPUUtil_intr_NodeSystem;CPUUtil_intr_NodeClient;CPUUtil_intr_Homer;CPUUtil_intr_Homestead;CPUUtil_intr_Sprout;CPUUtil_iowait_Bono;CPUUtil_iowait_NodeSystem;CPUUtil_iowait_NodeClient;CPUUtil_iowait_Homer;CPUUtil_iowait_Homestead;CPUUtil_iowait_Sprout;CPUUtil_nice_Bono;CPUUtil_nice_NodeSystem;CPUUtil_nice_NodeClient;CPUUtil_nice_Homer;CPUUtil_nice_Homestead;CPUUtil_nice_Sprout;CPUUtil_softirq_Bono;CPUUtil_softirq_NodeSystem;CPUUtil_softirq_NodeClient;CPUUtil_softirq_Homer;CPUUtil_softirq_Homestead;CPUUtil_softirq_Sprout;CPUUtil_system_Bono;CPUUtil_system_NodeSystem;CPUUtil_system_NodeClient;CPUUtil_system_Homer;CPUUtil_system_Homestead;CPUUtil_system_Sprout;CPUUtil_usage_Bono;CPUUtil_usage_NodeSystem;CPUUtil_usage_NodeClient;CPUUtil_usage_Homer;CPUUtil_usage_Homestead;CPUUtil_usage_Sprout;CPUUtil_user_Bono;CPUUtil_user_NodeSystem;CPUUtil_user_NodeClient;CPUUtil_user_Homer;CPUUtil_user_Homestead;CPUUtil_user_Sprout;DSKread_Bono;DSKread_NodeSystem;DSKread_NodeClient;DSKread_Homer;DSKread_Homestead;DSKread_Sprout;DSKwrite_Bono;DSKwrite_NodeSystem;DSKwrite_NodeClient;DSKwrite_Homer;DSKwrite_Homestead;DSKwrite_Sprout;MEMav_Bono;MEMav_NodeSystem;MEMav_NodeClient;MEMav_Homer;MEMav_Homestead;MEMav_Sprout;MEMfree_Bono;MEMfree_NodeSystem;MEMfree_NodeClient;MEMfree_Homer;MEMfree_Homestead;MEMfree_Sprout
52.0;plateau;35;2020;112358170.824892;15643000.0;6169451.4003388;20000.0;118017.482903436;34000.0;50288.061647203;10000.0;0.0;0.0;0;51.8677416001319;15.3413282017019;1.0;8409.40069156266;0;0.0;0;0.0;0;51.91766838310001;5203;52;225;4068.0;29082.0;7778.0;12250.0;28762.0;8466.0;2938.0;37801.0;9533.0;5911.0;11014.0;3051.0;2.01;0.4;0.115;3.99;5.25;2.86;0.91;0.395;0.055;1.35;2.5;2.54;0.96;0.3612;0.0712;1.78;3.19;2.24;50.4549;50.0842;94.9152;57.8006;43.0357;30.668000000000003;0.0;0.0;0.0;0.0;0.0;0.0;10.6132;5.8064;0.1065;9.7985;8.839;6.0792;0.21899999999999997;0.0;0.0;0.2606;0.3079;0.2561;2.9313;2.5603;0.7437;0.4343;1.3766;3.5007;8.544;15.3574;2.509;10.6671;18.964000000000002;15.3176;49.5451;49.9158;5.0848;42.1994;56.9643;69.332;27.2237;26.1918;1.7256;21.0389;27.4769;44.0061;0.0;1.35;0.3;0.0;0.0;0.0;26.4667;262.7333;5.85;26.4667;26.8333;26.85;1686892544.0;24196399104.0;30614212608.0;238444544;335585280.0;1448615936.0;616308736.0;22339842048.0;28649234432.0;80621568.0;87306240.0;441741312.0
52.0;plateau;35;2020;118937292.85136999;14855000.0;6546770.96640611;21000.0;136731.417690024;23000.0;56042.6587027161;13000.0;0.0;0.0;0;51.9296351048234;20.485427520439803;1.0;8461.33032666748;0;0.0;0;0.0;0;52.325236036999996;5245;52;226;3634.0;35381.0;9888.0;12731.0;27680.0;8914.0;2528.0;53256.0;16983.0;3451.0;10546.0;3344.0;1.93;0.4;0.115;4.95;4.91;2.86;0.91;0.395;0.055;1.35;2.49;2.54;0.96;0.3612;0.0712;1.78;3.15;2.24;50.4298;50.0842;94.9152;57.8006;43.0357;30.668000000000003;0.0;0.0;0.0;0.0;0.0;0.0;10.5849;5.8064;0.1065;9.8905;8.839;6.013999999999999;0.2191;0.0;0.0;0.2606;0.3079;0.2563;2.9159;2.5603;0.7437;0.4343;1.3766;3.4854;8.558;15.3574;2.509;10.3946;18.964000000000002;15.3084;49.5702;49.9158;5.0848;42.1994;56.9643;69.332;27.3049;26.1918;1.7256;21.0389;27.4769;44.2679;0.0;1.35;0.3;0.0;0.0;0.0;26.4667;262.6833;5.85;26.4667;26.8333;26.85;1686831104.0;24194404352.0;30614536192.0;234672128;335585280.0;1448665088.0;616165376.0;22337097728.0;28649558016.0;73777152.0;87371776.0;441724928.0
52.0;plateau;35;2020;116800436.300441;18965000.0;6512404.89803794;262000.0;683302.795610904;134000.0;168106.11537577302;28000.0;0.0;0.0;0;51.939009444696;25.638748461592;1.0;8513.26933611218;0;0.0;0;0.0;0;52.232994419499995;5269;52;227;4256.0;31434.0;8436.0;14952.0;18207.0;8149.0;3102.0;34503.0;10202.0;6156.0;6580.0;3372.0;1.93;0.4;0.115;4.95;4.91;2.86;0.91;0.395;0.055;1.35;2.49;2.54;0.96;0.3612;0.0712;1.78;3.15;2.24;50.0927;50.0368;94.9165;57.493;43.7852;30.4236;0.0;0.0;0.0;0.0;0.0;0.0;10.615;5.7717;0.1107;9.7705;9.0183;6.0301;0.21899999999999997;0.0;0.0;0.2608;0.2903;0.2562;2.9486;2.5734;0.7417;0.4172;1.3609;3.4848;8.5594;15.4382;2.501;10.8484;18.3996;15.3912;49.9073;49.9632;5.0835;42.507;56.2148;69.5764;27.5653;26.1799;1.73;21.21;27.1457;44.4141;0.0;1.35;0.3;0.0;0.0;0.0;26.4667;262.2167;6.2167;26.5;26.8333;26.7833;1686798336.0;24195940352.0;30614949888.0;242728960;327696384.0;1448267776.0;615960576.0;22337732608.0;28649971712.0;81342464.0;75214848.0;440971264.0
52.0;plateau;35;2020;112051371.95829299;16200000.0;6281774.86467356;172000.0;416317.22422333295;246000.0;141977.67268773;68000.0;0.0;0.0;0;51.8787203562066;15.2474700292927;1.0;8565.14805646838;0;0.0;0;0.0;0;51.917929128699996;5297;52;228;5549.0;37524.0;9516.0;14952.0;25396.0;11543.0;4078.0;34503.0;10202.0;6205.0;9415.0;4313.0;1.93;0.3975;0.115;4.95;4.91;2.86;0.91;0.395;0.055;1.35;2.49;2.53;0.96;0.3612;0.0712;1.78;3.15;2.22;49.7641;49.7212;94.8896;57.1081;43.7852;30.4236;0.0;0.0;0.0;0.0;0.0;0.0;10.5494;5.7065;0.1107;9.7268;8.757;5.8362;0.2191;0.0;0.0;0.261;0.3266;0.256;2.9828;2.5986;0.7542;0.4176;1.3751;3.5178;8.5945;15.3477;2.4988;10.8484;18.9615;15.5055;50.2359;50.2788;5.1104;42.8919;56.2148;69.5764;27.8901;26.625999999999998;1.7467;21.5939;28.008000000000003;44.9454;0.0;1.35;0.3;0.0;0.0;0.0;26.4667;260.4167;6.2167;26.5;26.2;26.7833;1686736896.0;24194781184.0;30615101440.0;242728960;332533760.0;1448787968.0;615919616.0;22337015808.0;28650123264.0;81539072.0;71090176.0;441757696.0
52.0;plateau;35;2020;112780865.98093702;20116000.0;6230021.04820947;25000.0;202557.232869012;89000.0;65709.2009749549;10000.0;0.0;0.0;0;51.9154128210901;15.9230835935285;1.0;8617.063469289471;0;0.0;0;0.0;0;51.9562630396;5340;52;229;4078.0;32715.0;9406.0;12408.0;26742.0;9208.0;3011.0;40654.0;12050.0;6276.0;10731.0;3398.0;1.93;0.3975;0.1062;4.95;4.91;2.71;0.91;0.395;0.0538;1.35;2.49;2.53;0.96;0.3612;0.07;1.78;3.15;2.22;49.2754;49.7212;94.8778;57.0931;42.5909;29.471;0.0;0.0;0.0;0.0;0.0;0.0;10.4651;5.7065;0.1107;9.6606;8.757;5.8362;0.2191;0.0;0.0;0.2785;0.3076;0.256;3.0502;2.5986;0.7607;0.4178;1.3751;3.5836;8.6451;15.3477;2.5099;10.8926;18.9615;15.3413;50.7246;50.2788;5.122200000000009;42.9069;57.4091;70.529;28.3451;26.625999999999998;1.7492;21.7058;28.008000000000003;45.5119;0.0;1.35;0.3;0.0;0.0;0.0;26.4667;260.4167;6.2167;26.4667;26.2;26.75;1686728704.0;24192438272.0;30615134208.0;242868224;332533760.0;1448726528.0;615731200.0;22302818304.0;28650156032.0;83144704.0;84197376.0;441630720.0
52.0;plateau;35;2020;117297355.161476;15745000.0;6763291.92544127;50000.0;777456.745091365;32000.0;272875.997693072;11000.0;0.0;0.0;0;51.9574342385474;27.3333857272638;1.0;8669.02090352802;0;0.0;0;0.0;0;52.0;5371;52;230;4188.0;19612.0;7577.0;12408.0;19051.0;7462.0;2646.0;40654.0;11207.0;4585.0;7137.0;2690.0;1.93;0.3975;0.1062;4.95;4.91;2.71;0.91;0.395;0.0538;1.35;2.49;2.53;0.96;0.3612;0.07;1.78;3.15;2.22;49.1657;49.5971;94.9173;57.1976;42.5909;29.166;0.0;0.0;0.0;0.0;0.0;0.0;10.6017;5.6915;0.1024;9.5039;8.724;5.7679;0.2023;0.0;0.0;0.2785;0.3077;0.2048;3.0339;2.6196;0.7545;0.4178;1.411;3.5666;8.6466;15.3555;2.4912;10.8926;18.9038;15.2218;50.8343;50.4029;5.0827;42.8024;57.4091;70.834;28.3499;26.7364;1.7346;21.6362;28.0753;45.5461;0.0;1.35;0.3;0.0;0.0;0.0;26.4667;260.3667;6.0667;26.5;26.2;26.85;1682505728.0;24163176448.0;30612295680.0;245301248;335282176.0;1439739904.0;611659776.0;22307917824.0;28648034304.0;83849216.0;86511616.0;438030336.0
52.0;plateau;35;2020;119060853.226027;20791000.0;6656842.50603474;213000.0;765239.041985273;225000.0;230978.12451090102;127000.0;0.0;0.0;0;51.90732120210961;25.611996277617003;1.0;8720.928224730129;0;0.0;0;0.0;0;52.2725133216;5391;52;231;6824.0;43754.0;12495.0;10141.0;27289.0;12134.0;4222.0;35843.0;18658.0;4512.0;10481.0;4280.0;1.85;0.3975;0.1062;4.64;4.84;2.71;0.91;0.395;0.0538;1.35;2.5;2.53;0.96;0.3612;0.07;1.77;3.17;2.22;48.928999999999995;49.5971;94.7801;56.9614;42.4928;29.166;0.0;0.0;0.0;0.0;0.0;0.0;10.5414;5.6915;0.1024;9.5039;8.8097;5.6115;0.2024;0.0;0.0;0.2785;0.3075;0.2388;3.1203;2.6196;0.7651;0.4177;1.411;3.5306;8.7536;15.3555;2.5755;10.9661;18.9038;15.6916;51.071000000000005;50.4029;5.2199;43.0386;57.5072;70.834;28.4534;26.7364;1.7769;21.9109;28.0753;45.7616;0.0;1.35;0.3;0.0;0.0;0.0;26.4667;260.3667;5.25;26.5;26.2;26.9167;1682825216.0;24168517632.0;30608650240.0;245170176;335151104.0;1444044800.0;611876864.0;22311030784.0;28644311040.0;83587072.0;86659072.0;436998144.0
52.0;plateau;35;2020;118096001.451056;17101000.0;6511024.2384012;107000.0;532454.213246255;404000.0;142130.716347006;107000.0;0.0;0.0;0;51.917084966188604;19.8186185557178;1.0;8772.84530969632;0;0.0;0;0.0;0;52.200975929799995;5422;52;232;5032.0;34487.0;10386.0;11077.0;28155.0;11137.0;3352.0;39010.0;12633.0;5853.0;10527.0;3525.0;1.85;0.3975;0.1062;4.64;4.84;2.49;0.91;0.395;0.0538;1.35;2.5;2.53;0.96;0.3612;0.07;1.77;3.17;2.22;48.6664;49.3983;94.5561;56.872;42.17;28.5154;0.0;0.0;0.0;0.0;0.0;0.0;10.3646;5.6353;0.1003;9.325;8.7358;5.4372;0.2026;0.0;0.0;0.2784;0.3075;0.2386;3.1735;2.6929;0.7756;0.4349;1.4647;3.5964;8.7272;15.2886;2.6509;11.0125;18.9184;15.8514;51.3336;50.6017;5.4439;43.128;57.83;71.4846;28.8656;26.9713;1.9171;22.0772;28.4268;46.361000000000004;0.0;0.85;0.3;0.0;0.0;0.0;26.4667;260.1167;5.0667;26.5;26.2;26.9167;1683353600.0;24160702464.0;30590951424.0;245493760;335364096.0;1446133760.0;612474880.0;22354382848.0;28625580032.0;83783680.0;86556672.0;439074816.0
52.0;plateau;35;2020;112684772.57452801;15903000.0;6581804.50602285;61000.0;195769.73089171;65000.0;87109.9505678179;41000.0;0.0;0.0;0;51.93631447726089;20.6949009151672;1.0;8824.78162417358;0;0.0;0;0.0;0;51.97023233979999;5455;52;233;4903.0;33745.0;9806.0;14492.0;28155.0;8950.0;3352.0;39587.0;12633.0;5853.0;10527.0;3525.0;1.85;0.3975;0.1062;4.64;4.84;2.49;0.91;0.395;0.0538;1.35;2.5;2.53;0.96;0.3612;0.0688;1.77;3.17;2.22;48.6664;49.3983;94.5561;56.872;42.17;28.5154;0.0;0.0;0.0;0.0;0.0;0.0;10.3646;5.6353;0.1003;9.2428;8.7263;5.4372;0.2194;0.0;0.0;0.2784;0.3071;0.2386;3.1735;2.6929;0.7756;0.4349;1.4647;3.5964;8.892999999999999;15.357000000000001;2.6509;11.0125;18.9184;15.8514;51.3336;50.6017;5.4439;43.128;57.83;71.4846;29.0415;26.9713;1.9171;22.2628;28.4268;46.361000000000004;0.0;0.85;0.3;0.0;0.0;0.0;26.4667;258.9333;5.0667;26.5;26.2;26.9167;1685913600.0;24212705280.0;30590951424.0;245493760;335364096.0;1448214528.0;614768640.0;22354382848.0;28625580032.0;83783680.0;86556672.0;439074816.0
52.0;plateau;35;2020;115051544.504495;15011000.0;6421606.15629464;260000.0;149803.9860875;44000.0;55364.6753848563;19000.0;0.0;0.0;0;51.9170213344752;23.107149237972397;1.0;8876.698645508059;0;0.0;0;0.0;0;51.9481;5485;52;234;4844.0;38388.0;10274.0;13998.0;26885.0;10321.0;3298.0;53456.0;11712.0;6799.0;10709.0;3456.0;1.85;0.4162;0.0975;4.64;4.84;2.49;0.91;0.3962;0.0538;1.35;2.5;2.52;0.96;0.3662;0.0688;1.77;3.17;2.18;48.4138;48.9391;94.3294;56.745;41.8248;27.6679;0.0;0.0;0.0;0.0;0.0;0.0;10.1065;5.5914;0.1004;9.2651;8.7263;5.2676;0.2197;0.0;0.0;0.2785;0.3071;0.2387;3.3294;2.8031;0.7799;0.4178;1.5357;3.6652;8.991;15.357000000000001;2.7997;11.0531;18.9521;15.9905;51.5862;51.0609;5.6705999999999905;43.255;58.1752;72.3321;29.3392;27.3094;1.9905;22.5705;28.654;47.1701;0.0;1.2;0.3;0.0;0.0;0.0;25.9667;258.9333;5.0667;26.5;26.2;26.9167;1685913600.0;24213471232.0;30629978112.0;245334016;335384576.0;1448280064.0;614899712.0;22355337216.0;28664946688.0;83652608.0;86687744.0;441090048.0
