BonoCPUUsage,BonoLatencyVariance,RegisterRT
5.8212,4.368,1
5.83845,8.9025,1
5.8557,13.437,1
5.85769999999999,13.437,1
5.87739999999999,13.437,1
5.8942,13.437,1
5.9288,15.275,1
5.9466,15.275,1
6.0128,15.275,1
5.9674,15.275,1
6.0326,15.275,1
6.1324,4.056,1
6.28360000000001,4.056,1
6.3633,4.056,1
6.398,4.056,1
6.3823,4.056,1
6.334,125.574,1
6.4294,125.574,1
6.4765,125.574,1
6.59059999999999,125.574,1
6.59399999999999,125.574,1
6.61069999999999,6.407,1
6.5951,6.407,1
6.57940000000001,6.407,1
6.66,6.407,1
6.6611,6.407,1
6.6767,9.926,1
6.66,9.926,1
6.75830000000001,9.926,1
6.74379999999999,9.926,1
6.7444,8.6725,1
6.745,7.419,1
6.6454,7.419,1
6.6622,7.419,1
6.6152,7.419,1
6.50530000000001,7.419,1
6.5031,5,1
6.5692,5,1
6.5882,5,1
6.63639999999999,5,1
6.5882,5,1
6.58710000000001,67.773,1
6.63640000000001,67.773,1
6.6857,67.773,1
6.7216,67.773,1
6.7059,67.773,1
6.7418,5.779,1
6.6913,5.779,1
6.6913,5.779,1
6.679,5.779,1
6.74290000000001,5.779,1
6.6947,12.178,1
6.7654,12.178,1
6.69355,12.178,1
6.6217,12.178,1
6.624,12.178,1
6.6846,8.431,1
6.6712,8.431,1
6.67230000000001,8.431,1
6.67175,8.431,1
6.6712,8.431,1
6.69029999999999,9.007,1
6.6566,9.007,1
6.6891,9.007,1
6.6375,9.007,1
6.65939999999999,8.244,1
6.68129999999999,7.481,1
6.64870000000001,7.481,1
6.60039999999999,7.481,1
6.69580000000001,7.481,1
6.61499999999999,7.481,1
6.5668,8.932,1
6.53365,8.932,1
6.5005,8.932,1
6.551,8.932,1
6.6173,8.932,1
6.66549999999999,4.922,1
6.6015,4.922,1
6.5847,4.922,1
6.56789999999999,4.922,1
6.6644,4.922,1
6.6801,67.947,1
6.8147,67.947,1
6.7968,67.947,1
6.66889999999999,67.947,1
6.66105,67.947,1
6.6532,67.947,1
6.6678,11.309,1
6.5712,11.309,1
6.65430000000001,11.309,1
6.6217,11.309,1
6.5903,8.079,1
6.60599999999999,8.079,1
6.5712,8.079,1
6.60039999999999,8.079,1
6.6801,8.079,1
6.6846,4.945,1
6.66330000000001,4.945,1
6.6117,4.945,1
6.596,4.945,1
6.5488,4.945,1
6.5488,4.945,1
6.3995,3.591,1
6.44670000000001,3.591,1
6.3805,3.591,1
6.39619999999999,3.591,1
6.4592,7.306,1
10.5175,6.454,1
10.5997,6.454,1
10.7449,6.454,1
10.859,3.969,1
11.0103,3.969,1
11.0588,3.969,1
11.0326,3.969,1
11.1036,3.969,1
11.2195,3.406,1
11.283,3.406,1
11.2998,3.406,1
11.3166,3.406,1
11.3522,3.406,1
11.2702,8.048,1
11.3376,8.048,1
11.246,8.048,1
11.3881,8.048,1
11.5469,8.048,1
11.5449,8.829,1
11.5676,8.829,1
11.5864,8.829,1
11.7211,8.829,1
11.8033,8.829,1
11.835,5.511,1
11.7697,5.511,1
11.7885,5.511,1
11.8519,5.511,1
11.8593,5.511,1
11.8667,5.511,1
11.934,8.252,1
11.9549,8.252,1
11.936,8.252,1
11.9906,8.252,1
12.0094,7.109,1
12.0263,7.109,1
12.0094,7.109,1
12.0391,7.109,1
12.0539,7.109,1
12.033,6.586,1
12.0983,6.586,1
12.0707,6.586,1
12.1697,6.586,1
12.0916,6.586,1
12.08955,6.3965,1
12.0875,6.207,1
12.2411,6.207,1
12.4032,6.207,1
12.4369,6.207,1
12.4811,23.46,1
12.479,23.46,1
12.5084,23.46,1
12.5357,23.46,1
12.5567,23.46,1
12.5693,29.219,1
12.5525,29.219,1
12.5525,29.219,1
12.4159,29.219,1
12.3991,29.219,1
12.4474,34.924,1
12.3675,34.924,1
12.3675,34.924,1
12.3864,34.924,1
12.3654,34.924,1
12.3043,34.778,1
12.2559,34.778,1
12.3023,34.778,1
12.3507,34.778,1
12.2896,34.778,1
12.3675,35.032,1
12.4432,35.032,1
12.542,35.032,1
12.6891,35.032,1
12.6763,35.032,1
12.6448,60.398,1
12.8902,60.398,1
12.8778,60.398,1
12.8412,60.398,1
12.8046,60.398,1
12.7584,38.125,1
12.7123,38.125,1
12.6955,38.125,1
12.708,38.125,1
12.5967,38.125,1
12.561,33.67,1
12.5021,33.67,1
12.5799,33.67,1
12.5147,33.67,1
12.5652,33.67,1
12.5042,9.86,1
12.5252,9.86,1
12.5714,9.86,1
12.6176,9.86,1
12.6176,9.86,1
12.6197,5.997,1
12.668,5.997,1
12.6302,5.997,1
12.5651,5.997,1
12.6931,5.997,1
12.8334,8.779,2
12.84285,8.779,1
12.8523,8.779,1
12.8502,8.779,1
12.8356,8.779,1
12.8691,5.451,1
12.8686,5.451,1
12.8351,5.451,1
12.8184,5.451,1
12.8184,5.451,1
12.8184,5.451,1
12.787,8.178,1
12.7242,8.178,1
12.7221,8.178,1
12.6782,8.178,1
12.6803,6.317,1
12.7264,6.317,1
12.8102,6.317,1
12.8059,6.317,1
12.8583,6.317,1
12.8353,6.7235,1
12.8123,13.júl,1
12.827,13.júl,1
12.7724,13.júl,1
12.8248,13.júl,1
12.8562,4.47,1
12.7642,4.47,1
12.7642,4.47,1
12.8583,4.47,1
12.8773,4.47,1
12.756,6.465,1
12.7141,6.465,1
12.6491,6.465,1
12.5399,6.465,1
12.5652,6.465,1
12.561,6.714,1
12.4601,6.714,1
12.3592,6.714,1
12.2624,6.714,1
12.3046,6.714,1
12.3886,6.417,1
12.4475,6.417,1
12.4097,6.417,1
12.5042,6.417,1
12.5042,6.417,1
12.6971,8.046,1
12.6425,8.046,1
12.6803,8.046,1
12.808,8.046,1
12.833,8.046,1
12.8746,5.706,1
12.8497,5.706,1
12.7389,5.706,1
12.7367,5.706,1
12.8184,5.706,1
12.8141,5.706,1
12.8098,8.412,1
12.8098,8.412,1
12.7849,8.412,1
12.9437,8.412,1
12.7513,20.433,1
12.7264,20.433,1
12.6489,20.433,1
12.7117,20.433,1
12.7578,20.433,1
12.6824,5.907,1
12.6363,5.907,1
12.607,5.907,1
12.6217,5.907,1
12.6888,5.907,1
12.7245,19.092,1
12.6344,19.092,1
12.6376,19.092,1
16.9758,69.605,1
17.0477,69.605,1
17.1665,69.605,1
17.2111,69.605,1
17.2774,69.605,1
17.4072,74.896,1
17.5037,74.896,1
17.7133,74.896,1
17.763,74.896,1
17.8536,74.896,1
17.7767,71.612,1
17.8275,71.612,1
17.9347,71.612,1
17.93915,71.612,1
17.9436,71.612,1
18.0385,46.602,1
18.1245,46.602,1
18.1229,46.602,1
18.304,46.602,1
18.3056,46.602,1
18.5683,196.232,1
18.5683,196.232,1
18.617,196.232,1
18.5961,196.232,1
18.6731,196.232,1
18.646,47.443,1
18.5888,47.443,1
18.5919,47.443,1
18.6023,47.443,1
18.6658,47.443,1
18.7354,49.22,1
18.7687,50.997,1
18.8798,50.997,1
18.8798,50.997,1
18.8965,50.997,1
18.8529,48.54,1
18.8155,48.54,1
18.8488,48.54,1
18.8541,48.54,1
18.878,48.54,1
18.8092,69.201,1
18.8186,69.201,1
18.802,69.201,1
18.7167,69.201,1
18.7406,69.201,1
18.6593,30.801,1
18.5915,30.801,1
18.5581,30.801,1
18.56955,30.801,1
18.581,30.801,1
18.5389,44.602,1
18.4206,44.602,1
18.3523,44.602,1
18.2032,44.602,1
18.418,44.602,1
18.4577,74.148,1
18.4471,74.148,1
18.3619,74.148,1
18.2261,74.148,1
18.2429,74.148,2
18.2231,62.779,1
18.1925,62.779,1
18.2201,62.779,1
18.2675,62.779,1
18.2728,62.779,1
18.2781,62.779,1
18.1696,43.491,1
18.0212,43.491,1
17.9859,43.491,1
17.972,43.491,1
17.9474,80.896,1
17.8078,80.896,1
17.7126,80.896,1
17.6848,80.896,1
17.6788,80.896,1
17.6451,43.919,1
17.6173,43.919,1
17.5835,43.919,1
17.5865,43.919,1
17.6401,43.919,1
17.4911,60.93,1
17.4911,77.941,1
17.4713,77.941,1
17.3986,77.941,2
17.4265,77.941,1
17.5477,64.609,1
17.5646,64.609,1
17.5536,64.609,1
17.5287,64.609,1
17.4839,64.609,1
17.5854,66.801,1
17.5913,66.801,1
17.5275,66.801,1
17.4377,66.801,1
17.4517,66.801,1
17.4149,52.738,1
17.4996,52.738,1
17.5165,52.738,1
17.5165,52.738,1
17.409,52.738,1
17.3449,34.643,1
17.2712,34.643,1
17.2969,34.643,1
17.311,34.643,1
17.353,34.643,1
17.4149,66.921,1
17.395,66.921,1
17.3839,66.921,1
17.336,66.921,1
17.5055,66.921,2
17.4149,83.277,1
17.4657,83.277,1
17.5127,83.277,1
17.6311,83.277,1
17.4797,83.277,1
17.5246,78.8915,1
17.5246,74.506,1
17.5614,74.506,1
17.6062,74.506,1
17.4945,74.506,1
17.5673,88.667,1
17.6829,88.667,1
17.6431,88.667,1
17.7267,88.667,1
17.7466,88.667,2
17.8101,55.747,1
17.8312,55.747,1
17.8728,55.747,1
17.8946,55.747,1
17.8867,55.747,1
17.833,80.375,1
17.8638,80.375,2
17.9453,80.375,1
17.9453,80.375,2
17.9453,80.375,1
18.0375,60.471,1
17.9868,60.471,1
18.0344,60.471,1
18.0574,60.471,1
18.0729,60.471,1
17.9241,56.59,1
17.9084,56.59,1
17.9561,56.59,1
17.9392,56.59,1
17.9652,56.59,1
17.8698,55.878,1
17.8469,55.878,1
21.2652,85.346,1
21.283,85.346,1
21.3964,85.346,1
21.4775,85.346,1
21.7711,85.346,1
21.8452,56.449,1
21.875,56.449,1
21.9048,56.449,1
21.9272,56.449,1
22.1165,56.449,1
22.3001,196.936,1
22.5138,196.936,1
22.5013,196.936,1
22.5644,196.936,1
22.6017,196.936,2
22.728,68.989,1
22.8437,68.989,1
23.0512,68.989,1
23.0486,68.989,2
23.1568,68.989,1
23.0795,104.415,1
23.1157,104.415,1
23.14535,104.415,1
23.175,104.415,1
23.2757,104.415,1
23.3507,73.224,1
23.4346,73.224,1
