@relation 2000adat

@attribute BonoCPUUsage numeric
@attribute BonoLatencyVariance numeric
@attribute RegisterRT numeric

@data
5.8212,4.368,1
5.83845,8.9025,1
5.8557,13.437,1
5.85769999999999,13.437,1
5.87739999999999,13.437,1
5.8942,13.437,1
5.9288,15.275,1
5.9466,15.275,1
6.0128,15.275,1
5.9674,15.275,1
6.0326,15.275,1
6.1324,4.056,1
6.28360000000001,4.056,1
6.3633,4.056,1
6.398,4.056,1
6.3823,4.056,1
6.334,125.574,1
6.4294,125.574,1
6.4765,125.574,1
6.59059999999999,125.574,1
6.59399999999999,125.574,1
6.61069999999999,6.407,1
6.5951,6.407,1
6.57940000000001,6.407,1
6.66,6.407,1
6.6611,6.407,1
6.6767,9.926,1
6.66,9.926,1
6.75830000000001,9.926,1
6.74379999999999,9.926,1
6.7444,8.6725,1
6.745,7.419,1
6.6454,7.419,1
6.6622,7.419,1
6.6152,7.419,1
6.50530000000001,7.419,1
6.5031,5.0,1
6.5692,5.0,1
6.5882,5.0,1
6.63639999999999,5.0,1
6.5882,5.0,1
6.58710000000001,67.773,1
6.63640000000001,67.773,1
6.6857,67.773,1
