attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50
5.575,5.7253,5.7253,5.7724,5.792,5.7901,5.8686,5.88630000000001,5.88630000000001,5.8077,5.80580000000001,5.83920000000001,5.88630000000001,5.8745,5.8411,5.82729999999999,5.85680000000001,5.7272,5.7773,5.7949,5.7959,5.74769999999999,5.76439999999999,5.7959,5.7959,5.87649999999999,5.794,5.7782,5.8421,5.8745,5.9074,5.94029999999999,5.7586,5.6465,5.6122,5.54810000000001,5.5453,5.43300000000001,5.498,5.4813,5.5788,5.7458,5.73695,5.7281,5.7615,5.7811,5.845,5.9118,5.84399999999999,5.6456,0
9.7426,9.7911,9.78789999999999,9.82129999999999,9.8079,9.7659,9.7757,9.7924,9.8026,9.6504,9.6353,9.71250000000001,9.70415000000001,9.69580000000001,9.6688,9.73569999999999,9.739,9.7238,9.7255,9.6969,9.82429999999999,9.91970000000001,9.9632,9.8528,9.8528,9.90300000000001,9.8695,9.8896,9.88630000000001,9.88630000000001,9.9666,9.9247,10.0184,10.0201,9.9883,10.0184,9.95480000000001,10.015,9.97490000000001,10.0384,10.0767,9.9883,9.893,9.8646,9.85295,9.8413,9.7777,9.71729999999999,9.6618,9.6267,0
9.80835,9.7924,9.7255,9.7238,9.7055,9.71899999999999,9.7276,9.679,9.6688,9.7761,9.92319999999999,9.8763,9.90640000000001,9.85469999999999,9.84634999999999,9.83799999999999,9.83799999999999,9.8848,9.9132,9.783,9.7813,9.82810000000001,9.94,9.92829999999999,9.92829999999999,9.87649999999999,9.8498,9.8249,9.8432,9.8798,9.8648,9.9299,9.9299,9.9015,9.8514,9.8982,9.9182,9.8413,9.7826,9.7206,9.7826,9.9198,9.873,9.873,9.7944,9.7341,9.8111,9.78789999999999,9.7443,9.6639,0
13.6789,13.5786,13.7199,13.7055,13.6911,13.6721,13.8323,13.8898,13.8277,13.7753,13.8564,13.8875,13.9162,13.6515,13.716,13.7402,13.625,13.5749,13.5316,13.5673,13.4548,13.4448,13.4348,13.5384,13.6698,13.4995,13.4828,13.542,13.609,13.6044,13.6356,13.5664,13.5854,13.5565,13.4918,13.5976,13.5664,13.5519,13.5519,13.5049,13.2887,13.2742,13.3512,13.2619,13.2117,13.1927,13.3199,13.1782,13.0865,12.9925,0
16.6136,16.6471,16.946,16.8818,16.88875,16.8957,16.9012,16.9123,16.9347,17.1271,17.0912,17.0409,17.0352,16.8816,17.0127,16.9849,16.9739,16.9824,16.8986,16.9182,16.9125,16.9068,16.9628,16.9068,16.8679,16.8176,16.6863,16.6807,16.6975,16.504,16.6022,16.5462,16.7199,16.6639,16.6274,16.7059,16.6611,16.60355,16.546,16.5798,16.5153,16.6023,16.5686,16.6106,16.4563,16.5153,16.4453,16.4453,16.4144,16.4172,0
16.0317,15.8915,16.0916,16.1502,16.2317,16.1105,16.0823,15.9953,15.8826,16.0344,16.0344,15.9946,16.1323,16.1802,16.1492,16.234,16.2003,16.3719,16.3523,16.3774,16.2736,16.1301,16.0937,16.2372,16.375,16.2626,16.2626,16.4059,16.4563,16.4761,16.3526,16.2626,16.1421,16.1421,16.1051,16.0856,16.1898,16.06,16.1475,16.2654,16.2654,16.375,16.4872,16.4224,16.4001,16.4955,16.5797,16.5601,16.5853,16.6442,0
16.5882,16.473,16.4843,16.4086,16.5125,16.5686,16.4957,16.5574,16.4987,16.5197,16.5407,16.3447,16.2634,16.2326,16.258,16.3646,16.2834,16.4317,16.4485,16.5018,16.7142,16.8483,16.7281,16.5967,16.6918,16.65685,16.6219,16.566,16.5632,16.5128,16.5604,16.5912,16.6751,16.6359,16.6723,16.6163,16.6387,16.6359,16.5101,16.4905,16.4905,16.4124,16.4657,16.5354,16.5075,16.6443,16.6388,16.6416,16.5942,16.7001,0
19.94785,19.9327,19.8216,19.7845,19.7676,19.8316,20.0739,20.1209,20.0638,19.9092,19.9092,19.7408,19.815,19.8083,19.9025,20.0235,20.0235,20.1748,20.074,20.2725,20.2355,20.2455,20.0,19.9461,19.7171,19.6967,19.7373,19.6531,19.3216,19.4299,19.4637,19.3243,19.29345,19.2626,19.2425,19.3543,19.3101,19.3821,19.2373,19.3423,19.4266,19.2879,19.26,19.2568,19.3581,19.5073,19.5443,19.5982,19.6353,19.7602,0
19.5616,19.6293,19.6326,19.6663,19.72365,19.781,19.6392,19.5854,19.6528,19.6799,19.626,19.7309,19.7306,19.7102,19.6597,19.5114,19.4744,19.2249,19.2249,19.2379,19.2074,19.2418,19.2923,19.2586,19.2755,19.30075,19.326,19.3934,19.6768,19.66,19.5861,19.6134,19.5999,19.3467,19.3687,19.3907,19.2787,19.3287,19.2574,19.2535,19.3074,19.3483,19.2971,19.2295,19.3439,19.3679,19.3068,19.4088,19.3352,19.3453,0
23.7607,23.9255,23.9886,23.9893,23.9933,23.9846,23.7903,23.8411,23.8919,23.7112,23.6391,23.6055,23.8071,23.7943,23.8271,23.8367,23.6886,23.4948,23.3928,23.3709,23.4057,23.5284,23.5828,23.569,23.5472,23.5264,23.5056,23.5096,23.4928,23.3856,23.4193,23.4014,23.5463,23.6048,23.576,23.6345,23.5502,23.4689,23.3316,23.4449,23.40515,23.3654,23.4409,23.4937,23.5671,23.572,23.5036,23.6594,23.4728,23.4211,0
23.1962,23.208,23.217,23.186,23.0458,23.1899,23.299,23.3964,23.5284,23.5433,23.4976,23.4976,23.452,23.4739,23.5622,23.6434,23.7919,23.9105,23.9617,24.0168,23.8977,23.8175,23.9032,23.9032,23.9744,23.9825,23.8889,23.8889,23.961,24.033,23.9993,24.0323,23.9906,23.8977,23.8047,23.7205,23.6691,23.9993,23.9441,24.0155,23.965,23.969,23.8592,23.8592,23.8768,23.8135,23.7471,23.6926,23.6085,23.6687,0
27.2055,27.2529,27.2712,27.2146,27.2712,27.1624,27.1301,27.1853,27.1069,27.2282,27.2927,27.3894,27.3894,27.451,27.4234,27.4219,27.4204,27.5004,27.359,27.3945,27.5483,27.5296,27.5034,27.4742,27.5279,27.4513,27.508,27.4158,27.4788,27.4497,27.0865,26.9876,26.9876,26.7402,26.6984,26.7199,26.7199,26.695,26.9022,26.9237,27.2079,27.3175,27.4423,27.5839,27.4763,27.3484,27.4317,27.461,27.3067,27.3299,0
27.3529,27.3483,27.319,27.4221,27.5512,27.6679,27.6247,27.7552,27.6452,27.6452,27.7053,27.564,27.6084,27.6762,27.7467,27.6866,27.7374,27.8736,27.8182,27.697,27.7308,27.6801,27.7534,27.7844,27.7975,27.7412,27.7599,27.7599,27.8398,27.9899,28.2268,28.1087,28.3283,28.3838,28.2371,28.1498,28.2993,28.2146,28.3016,28.0728,28.0702,28.0216,27.7355,27.7534,28.0,27.9804,28.0223,28.0782,28.0613,28.1339,0
28.3361,28.3266,28.2689,28.2327,27.965,27.9501,27.745,27.7123,27.7647,27.6524,27.8021,27.7806,27.8984,27.9583,27.9583,28.0956,27.934,27.8788,27.9461,28.0855,28.2056,28.1403,28.027,28.0971,28.066,28.1145,28.0855,28.0572,28.0666,28.0353,28.004,27.9946,27.9246,28.033,28.1176,27.957,27.9121,28.0034,27.9382,27.9483,27.9799,27.9658,28.1428,27.9054,27.9853,28.0375,28.0375,28.124,27.9993,27.7843,0
29.4434,29.391,29.4484,29.5966,29.4415,29.7951,29.8723,30.0034,30.0353,30.0689,30.2634,30.2603,30.1915,30.1395,30.1497,30.1497,30.2572,30.3529,30.3076,30.3895,30.4099,30.4472,30.6633,30.5108,30.6931,30.8234,30.7963,30.8079,30.8762,30.9137,30.93685,30.96,30.9935,31.0605,31.1464,31.226,30.9906,31.1484,31.2332,31.2793,31.3076,31.295,31.4291,31.4405,31.3998,31.4951,31.4951,31.7649,31.7543,31.6873,0
31.646,31.6865,31.72225,31.758,31.8692,31.6893,31.7175,31.6213,31.7564,31.79,31.6434,31.6434,31.7503,31.6893,31.5993,31.6258,31.7266,31.7434,31.7143,31.68025,31.6462,31.7196,31.5161,31.6675,31.5586,31.4902,31.5586,31.5355,31.5683,31.6225,31.7254,31.6979,31.5318,31.5015,31.6199,31.6083,31.6083,31.6163,31.5416,31.6377,31.6377,31.4793,31.4981,31.5656,31.2458,31.0589,31.098,31.0345,31.0852,31.119,0
31.5727,31.5705,31.5683,31.602,31.5767,31.5514,31.6641,31.5399,31.4252,31.6172,31.5781,31.3692,31.3861,31.3861,31.3461,31.2173,31.0991,31.056,31.152,31.2975,31.2964,31.2964,31.2226,31.1793,31.1572,31.4565,31.2426,31.2732,31.2963,31.2679,31.23895,31.21,31.291,31.0995,31.1743,31.1743,31.2311,31.3508,31.1911,31.2637,31.2079,31.3079,31.4507,31.3815,31.3584,31.4541,31.5214,31.3468,31.3584,31.2473,0
33.8989,33.871,33.6585,33.709,33.9667,33.7988,33.8324,33.73715,33.6419,33.5465,33.1538,33.1201,33.1931,33.1593,33.2323,33.21,33.1706,33.1426,33.0526,32.9174,33.0694,33.0524,32.94,32.9681,32.98785,33.0076,32.9287,32.8954,32.9515,32.9346,32.8391,32.7711,32.9061,32.8779,33.002,32.9794,32.9852,32.9909,33.2325,33.2101,33.2493,33.2493,33.3109,33.2885,33.3389,33.4734,33.5685,33.4677,33.5296,33.6639,0
33.5071,33.6414,33.6582,33.5798,33.5855,33.5575,33.5014,33.5519,33.6359,33.7088,33.8878,33.8767,33.8043,33.7319,33.8045,33.7874,33.8487,33.8593,34.0208,33.8639,33.8469,33.9028,33.881,33.9037,33.7473,33.9426,33.8201,33.7808,33.9262,33.98205,34.0379,34.0379,34.0997,34.1668,34.1341,34.2401,34.3073,34.157,34.1402,34.1176,34.1632,34.04,33.9393,33.8386,33.8386,33.7098,33.6485,33.5977,33.654,33.5075,0
