@relation data_short

@attribute Timestamp numeric
@attribute HomerCPUUsage numeric
@attribute HomesteadCPUUsage numeric
@attribute HomesteadDevRead numeric
@attribute SproutCPUUsage numeric
@attribute BonoCPUUsage numeric
@attribute BonoDevWrite numeric
@attribute BonoLatencyAverage numeric
@attribute BonoLatencyVariance numeric
@attribute BonoIncomingRequestsCount numeric
@attribute HomesteadLatencyAverage numeric
@attribute HomesteadIncomingRequestsCount numeric
@attribute HomesteadLatencyVariance numeric
@attribute SproutIncomingRequestsCount numeric
@attribute HomerLatencyVariance numeric
@attribute HomerIncomingRequestsCount numeric
@attribute SproutLatencyVariance numeric
@attribute SproutLatencyAverage numeric
@attribute HomesteadCPUSwitches numeric
@attribute SproutCPUSwitches numeric
@attribute HomerCPUSwitches numeric
@attribute SproutCPUIntr numeric
@attribute HomerCPUIntr numeric
@attribute BonoCPUIntr numeric
@attribute BonoCPUSwitches numeric
@attribute HomesteadCPUIntr numeric
@attribute CallRate numeric
@attribute CurrentCalls numeric
@attribute SuccessfulCalls numeric
@attribute CallsetupRT numeric
@attribute CallteardownRT numeric
@attribute ResponseTimeRepartitionRegisterLT500 numeric
@attribute ResponseTimeRepartitionCallSetupLT7000 numeric
@attribute ResponseTimeRepartitionCallTeardownLT500 numeric
@attribute RegisterCalls numeric
@attribute CallteardownCalls numeric
@attribute CallsetupCalls numeric
@attribute regSum numeric
@attribute setSum numeric
@attribute tearSum numeric
@attribute RegisterRTClass numeric

@data
141,5.6985,20.1038,0.8,36.1624,19.5282,4.65,0.454,94.331,3269,0.564,1993,681.827,3111,234.787,250,6025.201,1.416,7068,7290,1203,3070,592,2579,2161,1773,45.954,3130,7,380,30,39,21,12,270,48,296,39,21,12,1
142,5.8951,20.1978,0.8,36.5985,19.7572,4.65,0.454,94.331,3269,0.564,1993,681.827,3111,234.787,250,6025.201,1.416,6994,7378,1306,3304,591,2866,2274,1734,45.954,3166,10,390,80,36,22,7,260,28,277,36,22,7,2
143,5.9649,20.4956,0.85,37.1563,20.2259,3.9667,0.454,94.331,3269,0.564,1993,681.827,3111,234.787,250,6025.201,1.416,5918,6462,1208,2848,528,2655,2143,1467,45.9082,3202,10,420,160,42,21,10,289,40,375,42,21,10,2
144,6.2479,20.6168,0.85,37.6299,20.6338,3.9667,0.454,94.331,3269,0.564,1993,681.827,3111,234.787,250,6025.201,1.416,7204,6736,1265,3007,598,2546,2224,1780,45.954,3246,2,390,80,46,22,8,319,35,384,46,22,8,2
145,6.3147,20.825,0.8,38.2141,20.9612,3.9667,0.454,94.331,3269,0.564,1993,681.827,3111,234.787,250,6025.201,1.416,6443,7155,1069,3053,484,2726,2348,1650,47,3283,10,480,90,31,20,15,218,57,279,31,20,15,2
146,6.367,21.0756,0.8,38.6253,21.2816,4.0667,0.5,137.5,3419,0.553,1903,322.783,3123,344.206,238,6413.56,1.405,7722,8051,1459,3424,658,2936,2471,1917,45.954,3319,10,390,170,33,19,13,240,52,353,33,19,13,2
147,6.4182,21.5421,0.8,39.1881,21.5997,4.0667,0.5,137.5,3419,0.553,1903,322.783,3123,344.206,238,6413.56,1.405,5727,6689,969,2875,486,2590,2290,1560,45.954,3357,8,410,140,39,17,12,263,48,313,39,17,12,2
148,6.4737,21.726,0.75,39.5875,21.9504,4.1167,0.5,137.5,3419,0.553,1903,322.783,3123,344.206,238,6413.56,1.405,8272,8233,1388,3657,588,3140,2577,1937,45.954,3395,8,350,120,40,15,13,288,52,297,40,15,13,2
149,6.4737,22.1777,0.75,40.1946,22.3535,4.1167,0.5,137.5,3419,0.553,1903,322.783,3123,344.206,238,6413.56,1.405,8114,8669,1240,3871,720,3364,2907,2370,46,3434,7,390,60,38,30,15,263,60,406,38,30,15,2
150,6.5261,22.4633,0.75,40.6979,22.6989,4.1167,0.5,137.5,3419,0.553,1903,322.783,3123,344.206,238,6413.56,1.405,7196,7743,1271,3336,570,3029,2525,1802,45.954,3478,2,390,100,29,30,18,198,72,399,29,30,18,1
151,6.66,22.7007,0.75,41.3383,23.0756,4.2333,0.493,125.993,3728,0.569,2169,309.251,3505,250.54,256,5657.709,1.413,7116,7133,1500,3138,647,2669,2261,1767,45.954,3516,8,450,170,37,16,18,275,72,326,37,16,18,2
152,6.7771,22.8791,0.7,41.7199,23.3407,4.2333,0.493,125.993,3728,0.569,2169,309.251,3505,250.54,256,5657.709,1.413,6754,7061,1340,3122,576,2552,2142,1741,46,3553,9,370,70,37,27,12,244,49,350,37,27,12,1
153,7.0293,23.3968,0.7,42.6221,23.975,4.8167,0.493,125.993,3728,0.569,2169,309.251,3505,250.54,256,5657.709,1.413,7680,8257,1290,3683,553,3173,2610,1950,45.9082,3587,12,390,80,44,27,13,312,51,371,44,27,13,2
154,7.1967,23.6473,0.7,43.1952,24.4351,4.8167,0.493,125.993,3728,0.569,2169,309.251,3505,250.54,256,5657.709,1.413,8510,8112,1561,3694,687,3236,2549,1976,45.954,3617,16,430,70,35,26,16,240,64,335,35,26,16,2
155,7.3473,24.0234,0.7,43.5527,24.7384,4.8167,0.493,125.993,3728,0.569,2169,309.251,3505,250.54,256,5657.709,1.413,8687,8679,1348,4001,607,3362,2763,2158,45.954,3649,14,410,80,45,24,18,325,72,409,45,24,18,2
156,7.4502,24.2688,0.65,44.2598,25.1857,4.8833,0.593,301.225,3918,0.763,2344,2266.52,3693,460.977,298,11341.537,1.776,7752,7478,1691,3395,699,2892,2359,1841,45.954,3683,12,440,100,47,22,28,324,112,352,47,22,28,2
157,7.5983,24.5447,0.65,44.7744,25.4981,4.8833,0.593,301.225,3918,0.763,2344,2266.52,3693,460.977,298,11341.537,1.776,6881,7427,1131,3196,533,2901,2373,1730,46,3717,12,460,70,38,28,12,261,48,408,38,28,12,2
158,7.6498,24.6406,0.65,45.2653,25.7977,4.7833,0.593,301.225,3918,0.763,2344,2266.52,3693,460.977,298,11341.537,1.776,6369,7249,1153,3022,566,2285,2793,1645,47,3757,7,370,70,37,18,19,276,79,361,37,18,19,2
159,7.749,24.7244,0.6,45.4439,25.9753,4.7833,0.593,301.225,3918,0.763,2344,2266.52,3693,460.977,298,11341.537,1.776,6901,7210,1155,3159,545,2690,4489,1810,45.954,3791,12,530,160,34,22,16,259,61,355,34,22,16,2
160,7.7837,24.9457,0.6,45.9215,26.3941,4.7833,0.593,301.225,3918,0.763,2344,2266.52,3693,460.977,298,11341.537,1.776,8071,8411,1202,3785,570,3458,3205,2003,45.9082,3824,13,830,210,54,19,23,350,92,282,54,19,23,3
