@relation flights

@attribute attr0 numeric
@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric

@data
3130,26,4680,1,1,3550,24,4320,2,1,4224,28,5040,3,1,4505,30,5400,4,2,4000,28,5040,5,2,4173,26,4698,6,2,4107,28,5272,7,3,4016,26,4680,8,3,3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,1
3550,24,4320,2,1,4224,28,5040,3,1,4505,30,5400,4,2,4000,28,5040,5,2,4173,26,4698,6,2,4107,28,5272,7,3,4016,26,4680,8,3,3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,1
4224,28,5040,3,1,4505,30,5400,4,2,4000,28,5040,5,2,4173,26,4698,6,2,4107,28,5272,7,3,4016,26,4680,8,3,3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,1
4505,30,5400,4,2,4000,28,5040,5,2,4173,26,4698,6,2,4107,28,5272,7,3,4016,26,4680,8,3,3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,1
4000,28,5040,5,2,4173,26,4698,6,2,4107,28,5272,7,3,4016,26,4680,8,3,3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,5076,34,6120,4,2,1
4173,26,4698,6,2,4107,28,5272,7,3,4016,26,4680,8,3,3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,5076,34,6120,4,2,5463,34,6120,5,2,1
4107,28,5272,7,3,4016,26,4680,8,3,3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,5076,34,6120,4,2,5463,34,6120,5,2,5650,36,6480,6,2,1
4016,26,4680,8,3,3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,5076,34,6120,4,2,5463,34,6120,5,2,5650,36,6480,6,2,5944,40,7200,7,3,1
3891,26,4582,9,3,4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,5076,34,6120,4,2,5463,34,6120,5,2,5650,36,6480,6,2,5944,40,7200,7,3,5853,36,6480,8,3,0
4297,28,5028,10,4,4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,5076,34,6120,4,2,5463,34,6120,5,2,5650,36,6480,6,2,5944,40,7200,7,3,5853,36,6480,8,3,4862,32,5760,9,3,1
4541,34,6120,11,4,5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,5076,34,6120,4,2,5463,34,6120,5,2,5650,36,6480,6,2,5944,40,7200,7,3,5853,36,6480,8,3,4862,32,5760,9,3,5518,36,6480,10,4,0
5129,34,6120,12,4,4905,34,6120,1,1,4600,30,5400,2,1,5879,38,6840,3,1,5076,34,6120,4,2,5463,34,6120,5,2,5650,36,6480,6,2,5944,40,7200,7,3,5853,36,6480,8,3,4862,32,5760,9,3,5518,36,6480,10,4,5156,34,6120,11,4,0
