@relation trainingData

@attribute attr13200 numeric
@attribute attr13201 numeric
@attribute attr13202 numeric
@attribute attr13203 numeric
@attribute attr13204 numeric
@attribute attr13205 numeric
@attribute attr13206 numeric
@attribute attr13207 numeric
@attribute attr13208 numeric
@attribute attr13209 numeric
@attribute attr13210 numeric
@attribute attr13211 numeric
@attribute attr13212 numeric
@attribute attr13213 numeric
@attribute attr13214 numeric
@attribute attr13215 numeric
@attribute attr13216 numeric
@attribute attr13217 numeric
@attribute attr13218 numeric
@attribute attr13219 numeric
@attribute attr13220 numeric
@attribute attr13221 numeric
@attribute attr13222 numeric
@attribute attr13223 numeric
@attribute attr13224 numeric
@attribute attr13225 numeric
@attribute attr13226 numeric
@attribute attr13227 numeric
@attribute attr13228 numeric
@attribute attr13229 numeric
@attribute attr13230 numeric
@attribute attr13231 numeric
@attribute attr13232 numeric
@attribute attr13233 numeric
@attribute attr13234 numeric
@attribute attr13235 numeric
@attribute attr13236 numeric
@attribute attr13237 numeric
@attribute attr13238 numeric
@attribute attr13239 numeric
@attribute attr13240 numeric
@attribute attr13241 numeric
@attribute attr13242 numeric
@attribute attr13243 numeric
@attribute attr13244 numeric
@attribute attr13245 numeric
@attribute attr13246 numeric
@attribute attr13247 numeric
@attribute attr13248 numeric
@attribute attr13249 numeric
@attribute attr13250 numeric
@attribute attr13251 numeric
@attribute attr13252 numeric
@attribute attr13253 numeric
@attribute attr13254 numeric
@attribute attr13255 numeric
@attribute attr13256 numeric
@attribute attr13257 numeric
@attribute attr13258 numeric
@attribute attr13259 numeric
@attribute attr13260 numeric

@data
121,55,42,195,55,42,169,55,43,101,55,43,370,55,43,422,54,43,261,54,43,114,55,43,527,55,44,393,55,44,116,55,44,174,55,44,163,56,44,106,56,45,126,55,45,909,55,45,611,55,45,240,56,45,323,57,46,831,57,46,0
195,55,42,169,55,43,101,55,43,370,55,43,422,54,43,261,54,43,114,55,43,527,55,44,393,55,44,116,55,44,174,55,44,163,56,44,106,56,45,126,55,45,909,55,45,611,55,45,240,56,45,323,57,46,831,57,46,531,57,47,0
169,55,43,101,55,43,370,55,43,422,54,43,261,54,43,114,55,43,527,55,44,393,55,44,116,55,44,174,55,44,163,56,44,106,56,45,126,55,45,909,55,45,611,55,45,240,56,45,323,57,46,831,57,46,531,57,47,194,57,47,0
101,55,43,370,55,43,422,54,43,261,54,43,114,55,43,527,55,44,393,55,44,116,55,44,174,55,44,163,56,44,106,56,45,126,55,45,909,55,45,611,55,45,240,56,45,323,57,46,831,57,46,531,57,47,194,57,47,185,57,47,0
370,55,43,422,54,43,261,54,43,114,55,43,527,55,44,393,55,44,116,55,44,174,55,44,163,56,44,106,56,45,126,55,45,909,55,45,611,55,45,240,56,45,323,57,46,831,57,46,531,57,47,194,57,47,185,57,47,113,57,48,0
422,54,43,261,54,43,114,55,43,527,55,44,393,55,44,116,55,44,174,55,44,163,56,44,106,56,45,126,55,45,909,55,45,611,55,45,240,56,45,323,57,46,831,57,46,531,57,47,194,57,47,185,57,47,113,57,48,204,57,48,0
132,57,49,654,57,49,438,57,50,221,57,50,207,57,50,135,57,50,153,57,50,613,57,50,504,57,50,257,57,50,203,57,51,653,57,51,474,57,51,212,57,51,235,57,51,219,57,51,137,57,51,589,57,51,900,56,51,678,57,50,0
654,57,49,438,57,50,221,57,50,207,57,50,135,57,50,153,57,50,613,57,50,504,57,50,257,57,50,203,57,51,653,57,51,474,57,51,212,57,51,235,57,51,219,57,51,137,57,51,589,57,51,900,56,51,678,57,50,154,58,51,0
438,57,50,221,57,50,207,57,50,135,57,50,153,57,50,613,57,50,504,57,50,257,57,50,203,57,51,653,57,51,474,57,51,212,57,51,235,57,51,219,57,51,137,57,51,589,57,51,900,56,51,678,57,50,154,58,51,785,57,51,0
221,57,50,207,57,50,135,57,50,153,57,50,613,57,50,504,57,50,257,57,50,203,57,51,653,57,51,474,57,51,212,57,51,235,57,51,219,57,51,137,57,51,589,57,51,900,56,51,678,57,50,154,58,51,785,57,51,606,57,51,0
