attr8800,attr8801,attr8802,attr8803,attr8804,attr8805,attr8806,attr8807,attr8808,attr8809,attr8810,attr8811,attr8812,attr8813,attr8814,attr8815,attr8816,attr8817,attr8818,attr8819,attr8820,attr8821,attr8822,attr8823,attr8824,attr8825,attr8826,attr8827,attr8828,attr8829,attr8830,attr8831,attr8832,attr8833,attr8834,attr8835,attr8836,attr8837,attr8838,attr8839,attr8840
54.5193,42.4546,54.5193,42.4546,54.5373,42.6076,54.5275,42.6076,54.5275,42.6076,53.8406,43.4347,53.8406,43.4347,55.0388,43.0349,55.0378,43.6172,55.1619,43.696,55.3658,44.1431,55.4236,44.4771,55.6315,44.4771,55.6855,44.7947,54.9532,45.1222,54.9712,45.163,54.9712,45.0304,56.442,45.2431,56.6302,46.4955,56.7432,46.4757,0
54.5193,42.4546,54.5373,42.6076,54.5275,42.6076,54.5275,42.6076,53.8406,43.4347,53.8406,43.4347,55.0388,43.0349,55.0378,43.6172,55.1619,43.696,55.3658,44.1431,55.4236,44.4771,55.6315,44.4771,55.6855,44.7947,54.9532,45.1222,54.9712,45.163,54.9712,45.0304,56.442,45.2431,56.6302,46.4955,56.7432,46.4757,56.997,46.824,0
54.5373,42.6076,54.5275,42.6076,54.5275,42.6076,53.8406,43.4347,53.8406,43.4347,55.0388,43.0349,55.0378,43.6172,55.1619,43.696,55.3658,44.1431,55.4236,44.4771,55.6315,44.4771,55.6855,44.7947,54.9532,45.1222,54.9712,45.163,54.9712,45.0304,56.442,45.2431,56.6302,46.4955,56.7432,46.4757,56.997,46.824,57.0813,47.2131,0
54.5275,42.6076,54.5275,42.6076,53.8406,43.4347,53.8406,43.4347,55.0388,43.0349,55.0378,43.6172,55.1619,43.696,55.3658,44.1431,55.4236,44.4771,55.6315,44.4771,55.6855,44.7947,54.9532,45.1222,54.9712,45.163,54.9712,45.0304,56.442,45.2431,56.6302,46.4955,56.7432,46.4757,56.997,46.824,57.0813,47.2131,57.2146,47.405,0
54.5275,42.6076,53.8406,43.4347,53.8406,43.4347,55.0388,43.0349,55.0378,43.6172,55.1619,43.696,55.3658,44.1431,55.4236,44.4771,55.6315,44.4771,55.6855,44.7947,54.9532,45.1222,54.9712,45.163,54.9712,45.0304,56.442,45.2431,56.6302,46.4955,56.7432,46.4757,56.997,46.824,57.0813,47.2131,57.2146,47.405,57.2146,47.6381,0
53.8406,43.4347,53.8406,43.4347,55.0388,43.0349,55.0378,43.6172,55.1619,43.696,55.3658,44.1431,55.4236,44.4771,55.6315,44.4771,55.6855,44.7947,54.9532,45.1222,54.9712,45.163,54.9712,45.0304,56.442,45.2431,56.6302,46.4955,56.7432,46.4757,56.997,46.824,57.0813,47.2131,57.2146,47.405,57.2146,47.6381,57.3042,47.6381,0
56.9095,48.5455,56.9865,49.4075,57.3809,49.7995,57.4857,49.9477,57.4982,50.096,57.4982,49.9127,56.7844,50.0611,56.7844,50.0611,56.7844,50.0611,56.9074,49.5459,57.1736,50.5673,57.0891,50.5496,57.2734,50.5496,57.2734,50.7853,57.304,50.7332,57.2605,50.8214,57.2605,50.8214,56.8972,50.9441,56.4797,51.0486,57.0738,50.4634,0
56.9865,49.4075,57.3809,49.7995,57.4857,49.9477,57.4982,50.096,57.4982,49.9127,56.7844,50.0611,56.7844,50.0611,56.7844,50.0611,56.9074,49.5459,57.1736,50.5673,57.0891,50.5496,57.2734,50.5496,57.2734,50.7853,57.304,50.7332,57.2605,50.8214,57.2605,50.8214,56.8972,50.9441,56.4797,51.0486,57.0738,50.4634,57.5215,51.1103,0
57.3809,49.7995,57.4857,49.9477,57.4982,50.096,57.4982,49.9127,56.7844,50.0611,56.7844,50.0611,56.7844,50.0611,56.9074,49.5459,57.1736,50.5673,57.0891,50.5496,57.2734,50.5496,57.2734,50.7853,57.304,50.7332,57.2605,50.8214,57.2605,50.8214,56.8972,50.9441,56.4797,51.0486,57.0738,50.4634,57.5215,51.1103,57.171,51.3376,0
57.4857,49.9477,57.4982,50.096,57.4982,49.9127,56.7844,50.0611,56.7844,50.0611,56.7844,50.0611,56.9074,49.5459,57.1736,50.5673,57.0891,50.5496,57.2734,50.5496,57.2734,50.7853,57.304,50.7332,57.2605,50.8214,57.2605,50.8214,56.8972,50.9441,56.4797,51.0486,57.0738,50.4634,57.5215,51.1103,57.171,51.3376,57.2119,50.856,0
57.4982,50.096,57.4982,49.9127,56.7844,50.0611,56.7844,50.0611,56.7844,50.0611,56.9074,49.5459,57.1736,50.5673,57.0891,50.5496,57.2734,50.5496,57.2734,50.7853,57.304,50.7332,57.2605,50.8214,57.2605,50.8214,56.8972,50.9441,56.4797,51.0486,57.0738,50.4634,57.5215,51.1103,57.171,51.3376,57.2119,50.856,57.3245,51.2144,0
57.4982,49.9127,56.7844,50.0611,56.7844,50.0611,56.7844,50.0611,56.9074,49.5459,57.1736,50.5673,57.0891,50.5496,57.2734,50.5496,57.2734,50.7853,57.304,50.7332,57.2605,50.8214,57.2605,50.8214,56.8972,50.9441,56.4797,51.0486,57.0738,50.4634,57.5215,51.1103,57.171,51.3376,57.2119,50.856,57.3245,51.2144,57.35,51.2144,0
